City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Show Low,US,77.61,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
344,Foshan,CN,89.64,few clouds,23.0268,113.1315,Crowne Plaza Foshan
345,Tura,IN,73.09,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
346,Roma,US,70.83,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
347,Boyabat,TR,61.72,scattered clouds,41.4689,34.7667,Kolaz Palas Otel
348,Funtua,NG,69.57,overcast clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
349,Seydi,TM,85.23,clear sky,39.4816,62.9137,Seydi oteli
350,Half Moon Bay,US,82.87,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
351,Groningen,NL,65.21,broken clouds,53.25,6.75,Bed&Breakfast Lageland
352,Manta,EC,73.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
353,Malko Tarnovo,BG,62.51,clear sky,41.9833,27.5333,Villa Malko Tarnovo
354,Lompoc,US,85.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
355,Sioux Lookout,CA,73.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
357,Lowestoft,GB,62.1,scattered clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
358,Novopokrovka,UA,60.35,few clouds,49.8425,36.5477,Пудж дом
359,Mahajanga,MG,68.02,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
360,Banda Aceh,ID,77.31,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
361,Zambezi,ZM,53.22,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
362,Sola,VU,79.93,clear sky,-13.8833,167.55,Leumerus Bungalows
363,Huarmey,PE,63.57,broken clouds,-10.0681,-78.1522,Hotel Miramar
364,Lodingen,NO,57.15,broken clouds,68.414,15.9951,Arctic Garden
365,Saint Anthony,US,76.91,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
366,Algiers,DZ,75.02,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
368,Tautira,PF,74.08,heavy intensity rain,-17.7333,-149.15,Pension Oaoa
369,Bath,GB,60.76,scattered clouds,51.3779,-2.3591,Francis Hotel Bath
370,Atasu,KZ,66.78,scattered clouds,48.6814,71.6433,Dostyk
371,Fukue,JP,77.36,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
372,Kurilsk,RU,60.35,light rain,45.2333,147.8833,Hotel Ostrov
